file_name,image_url,image_title,tag,prompt
Blobs_0000001.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F834578501167874109.png%3Fv%3D1&w=128&q=75,bloboof,Blobs,"bloboof emoji with a square head, small eyes, open mouth, surprised expression, white skin color, no action, with a white background."
Blobs_0000002.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F826559356534652950.png%3Fv%3D1&w=128&q=75,blobhyperthink,Blobs,"blobhyperthink emoji with a round head, large circular eyes, wide open mouth, surprised expression, orange skin color, no action, with a white background."
Blobs_0000003.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F879692167583518760.png%3Fv%3D1&w=128&q=75,blob_minecraft_totem_of_undying,Blobs,"blob_minecraft_totem_of_undying emoji with a blob-like head, large eyes, wide open mouth, surprised expression, yellow skin color, no action, with a white background."
Blobs_0000004.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F770647730157912104.png%3Fv%3D1&w=128&q=75,BlobCuddle,Blobs,"BlobCuddle emoji with a rounded head, closed eyes, small mouth, content expression, yellow skin color, hugging action, with a white background."
Blobs_0000005.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F812616652830146601.png%3Fv%3D1&w=128&q=75,nyan_party_blob,Blobs,"Nyan Party Blob emoji with a rounded head, small black eyes, squiggly mouth, surprised expression, pink skin color, no action, with a white background."
Blobs_0000006.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F858204471447388191.png%3Fv%3D1&w=128&q=75,purple_blob,Blobs,"Purple Blob emoji with a round head, small black eyes, smiling mouth, happy expression, purple skin color, waving action, with a white background."
Blobs_0000007.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F700934387503726632.png%3Fv%3D1&w=128&q=75,blobcry,Blobs,"Blobcry emoji with a round head, teardrop-shaped eyes, frowning mouth, sad expression, light skin color, no action, with a white background."
Blobs_0000008.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F855514879443337226.png%3Fv%3D1&w=128&q=75,partyblobtrash,Blobs,"Party Blob Trash emoji with a round head, small black eyes, smiling mouth, happy expression, orange skin color, no action, with a white background."
Blobs_0000009.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F812334984928296986.png%3Fv%3D1&w=128&q=75,blobthumbsup,Blobs,"Blob thumbs-up emoji with a rounded head, black dot eyes, curved mouth, thumbs up, yellow skin color, no action, with a white background."
Blobs_0000010.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F708791974127468555.png%3Fv%3D1&w=128&q=75,5800_Blob_F,Blobs,"5800 Blob F emoji with a round head, black eyes, wide open mouth, surprised expression, white skin color, no action, with a white background."
Blobs_0000011.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F652623115913920594.png%3Fv%3D1&w=128&q=75,blobpride,Blobs,"blobpride emoji with a round head, two large white circles for eyes, a small curved line for a mouth, a happy expression, rainbow skin color, no action, with a white background."
Blobs_0000012.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F866037226148200508.png%3Fv%3D1&w=128&q=75,partyblobcatcool,Blobs,"Party Blob Cat Cool emoji with a rounded head, black sunglasses with teal lenses, wide open mouth showing teeth, excited expression, pink skin color, no action, with a white background."
Blobs_0000013.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F932698226920931389.png%3Fv%3D1&w=128&q=75,blob_flushed,Blobs,"Blob flushed emoji with a round head, large brown eyes, slightly open mouth, surprised expression, yellow skin color, no action, with a white background."
Blobs_0000014.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F576744376542298162.png%3Fv%3D1&w=128&q=75,blobcatgooglypolice,Blobs,"blobcat googly police emoji with a round head, large googly eyes, open mouth with teeth showing, angry expression, yellow skin color, holding a police whistle, with a white background."
Blobs_0000015.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F802038865242226709.png%3Fv%3D1&w=128&q=75,greenblobsorry,Blobs,"'Sorry' emoji with a round head, small black eyes, frowning mouth, sad expression, green skin color, holding a sign, with a white background."
Blobs_0000016.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F446378960641720321.png%3Fv%3D1&w=128&q=75,blobthinking,Blobs,"blobthinking emoji with a rounded head, small black dot eyes, raised finger in front of the mouth, thinking expression, yellow skin color, no action, with a white background."
Blobs_0000017.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F662888461363314698.png%3Fv%3D1&w=128&q=75,blobcry,Blobs,"Blobcry emoji with a rounded head, small black eyes, winking mouth, sad expression, yellow skin color, no action, with a white background."
Blobs_0000018.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F838940182069772288.png%3Fv%3D1&w=128&q=75,yayblobhyper,Blobs,"Yayblobhyper emoji with a rounded head, black oval eyes, small curved mouth, happy expression, yellow skin color, no action, with a white background."
Blobs_0000019.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F793069108828307476.png%3Fv%3D1&w=128&q=75,Blob_dancing,Blobs,"Blob_dancing emoji with a rounded head, small circular eyes, smiling mouth, happy expression, green skin color, dancing action, with a white background."
Blobs_0000020.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F872147239013859338.png%3Fv%3D1&w=128&q=75,blobcatafternoon,Blobs,"blobcat afternoon emoji with a round head, small black eyes, smiling mouth, happy expression, yellow skin color, no action, with a blue background."
Blobs_0000021.jpg,https://discords.com/_next/image?url=https%3A%2F%2Fcdn.discordapp.com%2Femojis%2F932754680990281739.png%3Fv%3D1&w=128&q=75,blob_yes,Blobs,"blob yes emoji with a round head, black dot eyes, open mouth, happy expression, yellow skin color, holding a sign, with a white background."
